Date,Description,Category,Money in,Money out,Notes
2026-09-01,Salary,Income,2450.00,,Take-home pay
2026-09-01,Rent,Housing,,950.00,"Standing order, 1st of month"
2026-09-01,Council tax,Bills,,142.00,Direct debit
2026-09-03,Energy (gas and electric),Bills,,118.00,Direct debit
2026-09-03,Water,Bills,,38.00,Direct debit
2026-09-05,Broadband,Bills,,29.99,
2026-09-05,Mobile phone,Bills,,15.00,SIM only
2026-09-06,Weekly food shop,Groceries,,72.40,
2026-09-08,Train season ticket,Transport,,164.00,
2026-09-10,Car insurance,Transport,,48.50,Monthly instalment
2026-09-12,Streaming subscriptions,Subscriptions,,23.98,Two services
2026-09-13,Weekly food shop,Groceries,,68.10,
2026-09-14,Eating out,Eating out,,42.00,
2026-09-15,Gym,Health,,24.99,
2026-09-20,Weekly food shop,Groceries,,75.25,
2026-09-25,Transfer to savings,Savings,,300.00,Pay yourself first
2026-09-27,Weekly food shop,Groceries,,70.90,
2026-09-28,Birthday present,Gifts,,35.00,
