Date,Description,Category,Money in,Money out,Goal
2026-09-01,"Opening balance, emergency fund",Savings,1250.00,,Emergency fund (target 3000)
2026-09-01,"Opening balance, holiday",Savings,320.00,,Holiday (target 1200)
2026-09-25,Payday transfer,Savings,200.00,,Emergency fund (target 3000)
2026-09-25,Payday transfer,Savings,100.00,,Holiday (target 1200)
2026-09-30,Interest,Interest,4.85,,Emergency fund (target 3000)
2026-10-12,"Boiler repair, paid from fund",Savings,,180.00,Emergency fund (target 3000)
2026-10-25,Payday transfer,Savings,200.00,,Emergency fund (target 3000)
2026-10-25,Payday transfer,Savings,100.00,,Holiday (target 1200)
2026-10-31,Interest,Interest,4.92,,Emergency fund (target 3000)
2026-11-25,Payday transfer,Savings,200.00,,Emergency fund (target 3000)
2026-11-25,Payday transfer,Savings,150.00,,Holiday (target 1200)
