Date,Description,Category,Money in,Money out,Term
2026-09-21,Maintenance loan instalment,Income,3150.00,,Autumn
2026-09-21,Part-time job (monthly),Income,320.00,,Autumn
2026-09-22,Halls rent (term),Housing,,2100.00,Autumn
2026-09-23,Phone,Bills,,12.00,Autumn
2026-09-24,Food shop,Groceries,,42.30,Autumn
2026-09-26,Course books,Study,,65.00,Autumn
2026-09-27,Night out,Going out,,35.00,Autumn
2026-10-01,Food shop,Groceries,,38.90,Autumn
2026-10-03,Train home (railcard),Transport,,24.50,Autumn
2026-10-05,Streaming (student plan),Subscriptions,,5.99,Autumn
2026-10-08,Food shop,Groceries,,44.10,Autumn
2026-10-10,Sports club membership,Health,,40.00,Autumn
2026-10-12,Laundry,Bills,,8.00,Autumn
2026-10-15,Food shop,Groceries,,41.60,Autumn
2026-10-21,Part-time job (monthly),Income,320.00,,Autumn
2026-10-22,Society membership,Going out,,15.00,Autumn
2026-10-25,Savings for January,Savings,,100.00,Autumn
