Date,Description,Category,Money in,Money out,Week
2026-09-04,"Wages (weekly, take-home)",Income,480.00,,Week 1
2026-09-04,Rent (weekly share),Housing,,185.00,Week 1
2026-09-05,Food shop,Groceries,,58.40,Week 1
2026-09-07,Bus pass (weekly),Transport,,22.00,Week 1
2026-09-08,"Phone (monthly, paid this week)",Bills,,15.00,Week 1
2026-09-10,Takeaway,Eating out,,18.50,Week 1
2026-09-11,"Wages (weekly, take-home)",Income,480.00,,Week 2
2026-09-11,Rent (weekly share),Housing,,185.00,Week 2
2026-09-12,Food shop,Groceries,,61.20,Week 2
2026-09-14,Bus pass (weekly),Transport,,22.00,Week 2
2026-09-15,"Energy (monthly, paid this week)",Bills,,95.00,Week 2
2026-09-18,"Wages (weekly, take-home)",Income,480.00,,Week 3
2026-09-18,Rent (weekly share),Housing,,185.00,Week 3
2026-09-19,Food shop,Groceries,,55.90,Week 3
2026-09-21,Bus pass (weekly),Transport,,22.00,Week 3
2026-09-22,Savings transfer,Savings,,40.00,Week 3
2026-09-25,"Wages (weekly, take-home)",Income,480.00,,Week 4
2026-09-25,Rent (weekly share),Housing,,185.00,Week 4
2026-09-26,Food shop,Groceries,,63.75,Week 4
2026-09-28,Bus pass (weekly),Transport,,22.00,Week 4
2026-09-29,"Council tax (monthly, paid this week)",Bills,,120.00,Week 4
2026-09-30,Savings transfer,Savings,,40.00,Week 4
